"Retailer";"Retailer ID";"Invoice Date";"month";"Region";"State";"City";"category";"Product";"gender";"Price per Unit";"Units Sold";"Total Sales";"Operating Profit";"Operating Margin";"Sales Method"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";50;450;225000;78750;35;"In-store"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";55;450;247500;86625;35;"In-store"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";50;250;125000;43750;35;"In-store"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"footwear";"Women's Athletic Footwear";"female";50;200;100000;35000;35;"In-store"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"apparel";"Men's Apparel";"male";60;225;135000;54000;40;"In-store"
"Foot Locker";1128299;"2021-09-25";"September";"Southeast";"Virginia";"Richmond";"apparel";"Women's Apparel";"female";45;250;112500;33750;30;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";40;350;140000;49000;35;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";55;525;288750;101063;35;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";50;350;175000;61250;35;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"footwear";"Women's Athletic Footwear";"female";45;325;146250;51188;35;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"apparel";"Men's Apparel";"male";55;300;165000;66000;40;"In-store"
"Foot Locker";1128299;"2021-10-24";"October";"Southeast";"Virginia";"Richmond";"apparel";"Women's Apparel";"female";60;350;210000;63000;30;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";45;575;258750;90563;35;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";50;650;325000;113750;35;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";45;475;213750;74813;35;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"footwear";"Women's Athletic Footwear";"female";55;450;247500;86625;35;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"apparel";"Men's Apparel";"male";75;425;318750;127500;40;"In-store"
"Foot Locker";1128299;"2021-11-24";"November";"Southeast";"Virginia";"Richmond";"apparel";"Women's Apparel";"female";80;550;440000;132000;30;"In-store"
"Foot Locker";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";65;750;487500;170625;35;"In-store"
"Foot Locker";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";75;750;562500;196875;35;"In-store"
"Sports Direct";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";70;550;385000;134750;35;"In-store"
"Sports Direct";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"footwear";"Women's Athletic Footwear";"female";70;550;385000;134750;35;"In-store"
"Sports Direct";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"apparel";"Men's Apparel";"male";80;475;380000;152000;40;"In-store"
"Sports Direct";1128299;"2021-12-23";"December";"Southeast";"Virginia";"Richmond";"apparel";"Women's Apparel";"female";85;575;488750;146625;30;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";35;750;262500;131250;50;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";35;550;192500;77000;40;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";25;550;137500;41250;30;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"footwear";"Women's Athletic Footwear";"female";30;400;120000;42000;35;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"apparel";"Men's Apparel";"male";45;450;202500;81000;40;"In-store"
"Sports Direct";1185732;"2021-01-19";"January";"Southeast";"Virginia";"Richmond";"apparel";"Women's Apparel";"female";35;550;192500;105875;55;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Southeast";"Virginia";"Richmond";"footwear";"Men's Street Footwear";"male";35;800;280000;140000;50;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Southeast";"Virginia";"Richmond";"footwear";"Men's Athletic Footwear";"male";35;450;157500;63000;40;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Southeast";"Virginia";"Richmond";"footwear";"Women's Street Footwear";"female";25;500;125000;37500;30;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";30;375;112500;39375;35;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";45;450;202500;81000;40;"In-store"
"Sports Direct";1185732;"2021-02-17";"February";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";35;550;192500;105875;55;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";35;770;269500;134750;50;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";35;450;157500;63000;40;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";25;475;118750;35625;30;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";30;325;97500;34125;35;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";45;375;168750;67500;40;"In-store"
"Sports Direct";1185732;"2021-03-15";"March";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";35;475;166250;91438;55;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";35;725;253750;126875;50;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";40;425;170000;68000;40;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";30;450;135000;40500;30;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";35;375;131250;45938;35;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";50;400;200000;80000;40;"In-store"
"Sports Direct";1185732;"2021-04-16";"April";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";40;525;210000;115500;55;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";50;795;397500;198750;50;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";50;500;250000;100000;40;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";45;475;213750;64125;30;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";45;450;202500;70875;35;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";55;475;261250;104500;40;"In-store"
"Sports Direct";1185732;"2021-05-15";"May";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";60;575;345000;189750;55;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";55;825;453750;226875;50;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";50;575;287500;115000;40;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";45;550;247500;74250;30;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";45;525;236250;82688;35;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";60;525;315000;126000;40;"In-store"
"Sports Direct";1185732;"2021-06-17";"June";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";65;675;438750;241313;55;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";60;900;540000;270000;50;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";55;650;357500;143000;40;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";50;575;287500;86250;30;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";50;525;262500;91875;35;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";60;550;330000;132000;40;"In-store"
"Sports Direct";1185732;"2021-07-15";"July";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";65;725;471250;259188;55;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";60;875;525000;262500;50;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";55;650;357500;143000;40;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";45;575;258750;77625;30;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";35;525;183750;64313;35;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";45;500;225000;90000;40;"In-store"
"Sports Direct";1185732;"2021-08-16";"August";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";50;675;337500;185625;55;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";45;800;360000;180000;50;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";40;600;240000;96000;40;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";35;500;175000;52500;30;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";35;475;166250;58188;35;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";45;475;213750;85500;40;"In-store"
"Sports Direct";1185732;"2021-09-15";"September";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";50;575;287500;158125;55;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";50;750;375000;187500;50;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";40;575;230000;92000;40;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";40;425;170000;51000;30;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";40;400;160000;56000;35;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";50;400;200000;80000;40;"In-store"
"Sports Direct";1185732;"2021-10-17";"October";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";55;525;288750;158813;55;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";50;675;337500;168750;50;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";45;500;225000;90000;40;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";45;445;200250;60075;30;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";45;475;213750;74813;35;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";60;450;270000;108000;40;"In-store"
"Sports Direct";1185732;"2021-11-16";"November";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";65;625;406250;223438;55;"In-store"
"Sports Direct";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";60;850;510000;255000;50;"In-store"
"Sports Direct";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";50;650;325000;130000;40;"In-store"
"Foot Locker";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";50;600;300000;90000;30;"In-store"
"Foot Locker";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";50;550;275000;96250;35;"In-store"
"Foot Locker";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";60;550;330000;132000;40;"In-store"
"Foot Locker";1185732;"2021-12-15";"December";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";65;650;422500;232375;55;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";30;625;187500;75000;40;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";30;425;127500;44625;35;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";20;425;85000;29750;35;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"footwear";"Women's Athletic Footwear";"female";25;275;68750;27500;40;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"apparel";"Men's Apparel";"male";40;325;130000;45500;35;"In-store"
"Foot Locker";1185732;"2021-01-18";"January";"Midwest";"Michigan";"Detroit";"apparel";"Women's Apparel";"female";30;425;127500;63750;50;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Michigan";"Detroit";"footwear";"Men's Street Footwear";"male";30;675;202500;81000;40;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Michigan";"Detroit";"footwear";"Men's Athletic Footwear";"male";30;325;97500;34125;35;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Michigan";"Detroit";"footwear";"Women's Street Footwear";"female";20;375;75000;26250;35;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;250;62500;25000;40;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";40;325;130000;45500;35;"In-store"
"Foot Locker";1185732;"2021-02-18";"February";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";30;400;120000;60000;50;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;620;217000;86800;40;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";35;300;105000;36750;35;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";25;350;87500;30625;35;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";30;200;60000;24000;40;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";45;250;112500;39375;35;"In-store"
"Foot Locker";1185732;"2021-03-17";"March";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";35;350;122500;61250;50;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;575;201250;80500;40;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";30;275;82500;28875;35;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";20;275;55000;19250;35;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;200;50000;20000;40;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";40;225;90000;31500;35;"In-store"
"Foot Locker";1185732;"2021-04-18";"April";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";30;350;105000;52500;50;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";40;620;248000;99200;40;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";35;325;113750;39813;35;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";30;300;90000;31500;35;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";30;225;67500;27000;40;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";45;250;112500;39375;35;"In-store"
"Foot Locker";1185732;"2021-05-19";"May";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";50;350;175000;87500;50;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;600;210000;84000;40;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";30;350;105000;36750;35;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";25;375;93750;32813;35;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;350;87500;35000;40;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";40;350;140000;49000;35;"In-store"
"Foot Locker";1185732;"2021-06-18";"June";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";45;525;236250;118125;50;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";40;750;300000;120000;40;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";35;500;175000;61250;35;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";30;425;127500;44625;35;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";30;375;112500;45000;40;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";40;375;150000;52500;35;"In-store"
"Foot Locker";1185732;"2021-07-17";"July";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";45;550;247500;123750;50;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";40;700;280000;112000;40;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";40;475;190000;66500;35;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";35;400;140000;49000;35;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;325;81250;32500;40;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";35;300;105000;36750;35;"In-store"
"Foot Locker";1185732;"2021-08-18";"August";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";40;475;190000;95000;50;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;600;210000;84000;40;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";30;400;120000;42000;35;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";15;300;45000;15750;35;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";15;275;41250;16500;40;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";25;275;68750;24063;35;"In-store"
"Foot Locker";1185732;"2021-09-19";"September";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";30;350;105000;52500;50;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;525;183750;73500;40;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";25;350;87500;30625;35;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";25;250;62500;21875;35;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;225;56250;22500;40;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";35;225;78750;27563;35;"In-store"
"Foot Locker";1185732;"2021-10-18";"October";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";40;350;140000;70000;50;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";35;500;175000;70000;40;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";25;350;87500;30625;35;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";25;295;73750;25813;35;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";25;325;81250;32500;40;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";45;300;135000;47250;35;"In-store"
"Foot Locker";1185732;"2021-11-18";"November";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";50;400;200000;100000;50;"In-store"
"Foot Locker";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";45;650;292500;117000;40;"In-store"
"Foot Locker";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";35;450;157500;55125;35;"In-store"
"West Gear";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";35;400;140000;49000;35;"In-store"
"West Gear";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";35;350;122500;49000;40;"In-store"
"West Gear";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";45;350;157500;55125;35;"In-store"
"West Gear";1185732;"2021-12-17";"December";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";50;450;225000;112500;50;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";25;675;168750;67500;40;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";25;475;118750;41563;35;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";15;475;71250;24938;35;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Athletic Footwear";"female";20;325;65000;26000;40;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"apparel";"Men's Apparel";"male";35;375;131250;45938;35;"In-store"
"West Gear";1185732;"2021-01-11";"January";"Midwest";"Missouri";"St. Louis";"apparel";"Women's Apparel";"female";25;475;118750;59375;50;"In-store"
"West Gear";1185732;"2021-02-11";"February";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Street Footwear";"male";25;725;181250;72500;40;"In-store"
"West Gear";1185732;"2021-02-11";"February";"Midwest";"Missouri";"St. Louis";"footwear";"Men's Athletic Footwear";"male";25;375;93750;32813;35;"In-store"
"West Gear";1185732;"2021-02-11";"February";"Midwest";"Missouri";"St. Louis";"footwear";"Women's Street Footwear";"female";15;425;63750;22313;35;"In-store"
